complaint_id,filed_on,resolved_on,ward,category,description,status,channel,priority,citizen_age,satisfaction_score
GRV-1993,2025-03-20,,Ward-17,Street Lighting,Short circuit sparks from street light,Open,Mobile App,Low,60.0,nan
GRV-1994,2025-12-18,,Ward-14,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Phone Call,Medium,37.0,nan
GRV-1995,2026-02-05,,Ward-07,Waste Management,No waste bins available in the area,In Progress,Website,Low,50.0,nan
GRV-1996,2026-03-31,2026-04-11,Ward-04,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Mobile App,Low,24.0,2.0
GRV-1997,2025-01-24,,Ward-13,Street Lighting,Electric pole fallen on road – dangerous,Open,WhatsApp,Medium,28.0,nan
GRV-1998,2024-12-05,,Ward-02,Waste Management,No waste bins available in the area,In Progress,Walk-In,Critical,37.0,nan
GRV-1999,2026-01-07,,Ward-05,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Walk-In,High,34.0,nan
GRV-2000,2024-12-30,,Ward-15,Water Supply,Water pipeline leakage on main road,Open,Phone Call,Medium,39.0,nan
GRV-2001,2025-10-04,,Ward-01,Water Supply,Low water pressure in pipes,Rejected,WhatsApp,High,69.0,nan
GRV-2002,2025-05-27,,Ward-16,Water Supply,Water pipeline leakage on main road,In Progress,WhatsApp,High,,nan
GRV-2003,2026-01-22,,Ward-19,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Website,Medium,65.0,nan
GRV-2004,2024-10-16,2024-11-13,Ward-01,Street Lighting,Street lights not working for 2 weeks,Resolved,Walk-In,High,19.0,1.0
GRV-2005,2026-01-07,2026-01-28,Ward-07,Road & Infrastructure,Road construction debris not cleared,Resolved,Mobile App,Low,56.0,5.0
GRV-2006,2025-08-10,,Ward-02,Water Supply,Dirty/contaminated water coming from tap,Open,WhatsApp,High,24.0,nan
GRV-2007,2025-04-05,2025-04-07,Ward-02,Road & Infrastructure,Broken footpath causing injury to pedestrians,Closed,Mobile App,Medium,70.0,2.0
GRV-2008,2025-09-16,2025-10-08,Ward-20,Waste Management,Overflowing dustbin near bus stop,Resolved,WhatsApp,Medium,68.0,3.0
GRV-2009,2024-12-03,,Ward-19,Sewage & Drainage,Blocked drain causing flooding in colony,Rejected,Phone Call,Critical,55.0,nan
GRV-2010,2024-10-21,,Ward-13,Water Supply,Dirty/contaminated water coming from tap,Open,Mobile App,High,,nan
GRV-2011,2025-01-19,,Ward-16,Noise & Pollution,Dust from road construction affecting residents,Open,Walk-In,Low,52.0,nan
GRV-2012,2025-07-08,,Ward-14,Noise & Pollution,Burning of garbage creating air pollution,Open,WhatsApp,Low,,nan
GRV-2013,2026-02-21,,Ward-19,Waste Management,Garbage truck does not come on schedule,Open,WhatsApp,Critical,19.0,nan
GRV-2014,2025-11-19,2025-12-11,Ward-10,Street Lighting,Broken street light reported multiple times,Closed,Website,Medium,,1.0
GRV-2015,2025-10-22,,Ward-20,Road & Infrastructure,Broken footpath causing injury to pedestrians,In Progress,Phone Call,Critical,38.0,nan
GRV-2016,2024-10-26,,Ward-16,Sewage & Drainage,Sewage mixing with drinking water pipeline,In Progress,Website,High,,nan
GRV-2017,2025-06-16,2025-07-10,Ward-07,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Mobile App,Low,33.0,5.0
GRV-2018,2025-12-12,2026-01-11,Ward-07,Street Lighting,Street lights not working for 2 weeks,Resolved,WhatsApp,Critical,55.0,3.0
GRV-2019,2025-12-30,,Ward-18,Street Lighting,Street lights not working for 2 weeks,Open,Walk-In,Low,55.0,nan
GRV-2020,2025-12-22,,Ward-03,Waste Management,Illegal dumping of waste on street,Open,Phone Call,Medium,63.0,nan
GRV-2021,2025-06-28,2025-07-20,Ward-04,Sewage & Drainage,Foul smell from open drainage channel,Resolved,Phone Call,Medium,33.0,5.0
GRV-2022,2025-09-07,2025-10-06,Ward-01,Public Property,Encroachment on footpath by shop owners,Resolved,Walk-In,Low,33.0,5.0
GRV-2023,2025-05-13,2025-06-09,Ward-16,Noise & Pollution,Burning of garbage creating air pollution,Closed,Website,High,41.0,5.0
GRV-2024,2025-05-08,,Ward-15,Public Property,Public toilet locked / not accessible,In Progress,WhatsApp,High,59.0,nan
GRV-2025,2025-07-10,2025-07-19,Ward-02,Street Lighting,Short circuit sparks from street light,Closed,WhatsApp,Low,70.0,2.0
GRV-2026,2025-11-30,,Ward-01,Public Property,Tree fallen on parked vehicles,In Progress,Walk-In,Medium,20.0,nan
GRV-2027,2025-08-22,,Ward-05,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,Phone Call,High,35.0,nan
GRV-2028,2025-11-08,2025-11-09,Ward-06,Road & Infrastructure,Speed breaker removed without notice,Resolved,WhatsApp,Medium,18.0,1.0
GRV-2029,2025-01-25,,,Waste Management,Garbage truck does not come on schedule,Open,Phone Call,High,64.0,nan
GRV-2030,2025-05-04,,Ward-03,Road & Infrastructure,Large pothole causing accidents on highway,Open,Website,High,43.0,nan
GRV-2031,2026-03-31,2026-04-08,Ward-10,Road & Infrastructure,Speed breaker removed without notice,Resolved,Walk-In,Medium,33.0,3.0
GRV-2032,2025-04-25,,Ward-02,Waste Management,Garbage not collected for a week,In Progress,Walk-In,Critical,28.0,nan
GRV-2033,2025-01-23,,Ward-16,Street Lighting,Broken street light reported multiple times,Open,WhatsApp,Low,30.0,nan
GRV-2034,2026-01-25,2026-02-17,Ward-17,Road & Infrastructure,Speed breaker removed without notice,Resolved,Phone Call,High,24.0,3.0
GRV-2035,2024-10-07,2024-10-23,Ward-17,Waste Management,Garbage not collected for a week,Resolved,Walk-In,Low,32.0,4.0
GRV-2036,2025-07-03,,Ward-17,Water Supply,Water pipeline leakage on main road,In Progress,Mobile App,Low,45.0,nan
GRV-2037,2024-11-25,2024-11-29,Ward-11,Water Supply,Water meter not working properly,Closed,Website,High,74.0,2.0
GRV-2038,2025-08-21,2025-09-01,Ward-10,Water Supply,Water meter not working properly,Resolved,Mobile App,Medium,62.0,5.0
GRV-2039,2025-09-21,,Ward-07,Road & Infrastructure,Road completely waterlogged after rain,Open,Phone Call,Low,70.0,nan
GRV-2040,2026-03-18,2026-03-30,Ward-09,Road & Infrastructure,Speed breaker removed without notice,Resolved,Walk-In,Low,,5.0
GRV-2041,2025-09-01,,Ward-18,Water Supply,No water supply for 3 days,Rejected,WhatsApp,Low,48.0,nan
GRV-2042,2026-02-26,,Ward-09,Sewage & Drainage,Foul smell from open drainage channel,In Progress,Walk-In,Critical,50.0,nan
GRV-2043,2026-02-07,,Ward-06,Noise & Pollution,Burning of garbage creating air pollution,In Progress,Mobile App,Medium,58.0,nan
GRV-2044,2025-10-23,,Ward-05,Road & Infrastructure,Road construction debris not cleared,In Progress,Mobile App,Medium,,nan
GRV-2045,2025-09-02,,Ward-02,Public Property,Park benches broken and vandalised,Open,Mobile App,Medium,60.0,nan
GRV-2046,2025-09-27,2025-10-01,Ward-15,Waste Management,Garbage truck does not come on schedule,Closed,WhatsApp,Medium,35.0,1.0
GRV-2047,2024-10-29,2024-11-13,Ward-18,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Mobile App,Critical,23.0,5.0
GRV-2048,2025-08-31,,Ward-03,Noise & Pollution,Loud music from nearby event venue,In Progress,Website,Low,,nan
GRV-2049,2025-06-27,,Ward-08,Road & Infrastructure,Speed breaker removed without notice,In Progress,Walk-In,High,59.0,nan
GRV-2050,2025-06-12,2025-07-07,Ward-13,Sewage & Drainage,Foul smell from open drainage channel,Closed,,Low,,1.0
GRV-2051,2024-12-31,2025-01-02,Ward-11,Public Property,Tree fallen on parked vehicles,Resolved,Website,Medium,61.0,5.0
GRV-2052,2025-05-22,,Ward-16,Water Supply,Water pipeline leakage on main road,Open,Website,High,47.0,nan
GRV-2053,2026-01-17,2026-02-12,Ward-05,Road & Infrastructure,Broken footpath causing injury to pedestrians,Resolved,WhatsApp,Low,19.0,4.0
GRV-2054,2026-03-21,,Ward-03,Noise & Pollution,Construction noise beyond permitted hours,Open,Phone Call,Medium,52.0,nan
GRV-2055,2025-12-19,,Ward-20,Street Lighting,Broken street light reported multiple times,In Progress,Walk-In,Medium,48.0,nan
GRV-2056,2025-09-17,,Ward-07,Street Lighting,Short circuit sparks from street light,Open,WhatsApp,Medium,59.0,nan
GRV-2057,2025-10-18,2025-10-25,Ward-18,Street Lighting,Broken street light reported multiple times,Resolved,Walk-In,Low,23.0,3.0
GRV-2058,2025-11-01,2025-11-25,,Public Property,Park benches broken and vandalised,Resolved,WhatsApp,High,70.0,4.0
GRV-2059,2026-01-27,,Ward-11,Water Supply,Water meter not working properly,In Progress,WhatsApp,Low,43.0,nan
GRV-2060,2025-07-05,,Ward-13,Street Lighting,Frequent power fluctuation in area,Open,Mobile App,Medium,60.0,nan
GRV-2061,2026-03-26,2026-04-04,Ward-13,Public Property,Encroachment on footpath by shop owners,Resolved,Phone Call,Medium,68.0,1.0
GRV-2062,2025-07-02,,Ward-05,Public Property,Park benches broken and vandalised,Open,WhatsApp,Critical,25.0,nan
GRV-2063,2024-10-26,2024-11-13,Ward-05,Public Property,Park benches broken and vandalised,Resolved,Website,Medium,59.0,4.0
GRV-2064,2025-03-18,,Ward-07,Street Lighting,Broken street light reported multiple times,In Progress,Walk-In,Medium,50.0,nan
GRV-2065,2026-03-08,,Ward-10,Road & Infrastructure,Broken footpath causing injury to pedestrians,In Progress,Website,High,70.0,nan
GRV-2066,2025-02-10,,Ward-20,Road & Infrastructure,Large pothole causing accidents on highway,In Progress,WhatsApp,Medium,50.0,nan
GRV-2067,2024-10-18,,Ward-18,Waste Management,Illegal dumping of waste on street,Open,Mobile App,Low,33.0,nan
GRV-2068,2025-11-26,,Ward-10,Sewage & Drainage,Foul smell from open drainage channel,Open,Mobile App,Low,67.0,nan
GRV-2069,2025-11-29,,Ward-11,Public Property,Encroachment on footpath by shop owners,In Progress,Website,Medium,72.0,nan
GRV-2070,2024-12-09,,Ward-06,Street Lighting,Broken street light reported multiple times,Open,Website,Low,43.0,nan
GRV-2071,2025-07-05,2025-07-13,Ward-12,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Website,Low,67.0,5.0
GRV-2072,2025-05-21,,Ward-03,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Mobile App,Low,26.0,nan
GRV-2073,2025-05-14,,Ward-05,Street Lighting,Short circuit sparks from street light,Rejected,Mobile App,Low,55.0,nan
GRV-2074,2025-12-17,2026-01-03,Ward-20,Noise & Pollution,Loud music from nearby event venue,Closed,Website,Medium,36.0,1.0
GRV-2075,2025-10-07,,Ward-15,Street Lighting,Broken street light reported multiple times,In Progress,Website,Medium,74.0,nan
GRV-2076,2025-02-06,2025-02-24,Ward-19,Waste Management,No waste bins available in the area,Resolved,Website,High,,2.0
GRV-2077,2025-07-20,,Ward-18,Waste Management,Garbage truck does not come on schedule,Open,WhatsApp,Medium,52.0,nan
GRV-2078,2026-02-15,,Ward-12,Water Supply,Water meter not working properly,In Progress,Mobile App,Medium,65.0,nan
GRV-2079,2025-09-16,,Ward-17,Public Property,Park benches broken and vandalised,Open,,Critical,27.0,nan
GRV-2080,2025-05-03,,Ward-03,Noise & Pollution,Burning of garbage creating air pollution,In Progress,WhatsApp,High,57.0,nan
GRV-2081,2026-02-18,,Ward-03,Water Supply,Low water pressure in pipes,In Progress,WhatsApp,High,18.0,nan
GRV-2082,2025-10-28,,Ward-11,Road & Infrastructure,Road construction debris not cleared,Open,WhatsApp,High,18.0,nan
GRV-2083,2025-10-14,,Ward-16,Street Lighting,Short circuit sparks from street light,In Progress,WhatsApp,High,,nan
GRV-2084,2025-10-14,,Ward-10,Street Lighting,Electric pole fallen on road – dangerous,Rejected,Phone Call,Low,29.0,nan
GRV-2085,2025-06-05,2025-06-10,Ward-19,Public Property,Encroachment on footpath by shop owners,Resolved,Phone Call,Low,26.0,5.0
GRV-2086,2025-09-12,,Ward-02,Street Lighting,Broken street light reported multiple times,Open,Phone Call,High,50.0,nan
GRV-2087,2025-01-23,,Ward-03,Sewage & Drainage,Sewage overflowing onto road,Open,Walk-In,Medium,40.0,nan
GRV-2088,2026-03-23,,Ward-20,Noise & Pollution,Burning of garbage creating air pollution,Open,Phone Call,Low,38.0,nan
GRV-2089,2025-09-06,2025-09-12,Ward-20,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Walk-In,Critical,37.0,2.0
GRV-2090,2024-10-26,2024-10-27,Ward-12,Public Property,Public toilet locked / not accessible,Resolved,Walk-In,Low,18.0,5.0
GRV-2091,2025-10-06,,Ward-17,Public Property,Public toilet locked / not accessible,In Progress,Mobile App,Medium,51.0,nan
GRV-2092,2025-10-22,,Ward-05,Water Supply,Low water pressure in pipes,In Progress,Website,High,22.0,nan
GRV-2093,2025-04-18,,Ward-15,Street Lighting,Short circuit sparks from street light,Open,Walk-In,Low,,nan
GRV-2094,2025-06-13,,Ward-09,Public Property,Tree fallen on parked vehicles,Open,Mobile App,Low,64.0,nan
GRV-2095,2026-01-14,,Ward-16,Street Lighting,Short circuit sparks from street light,In Progress,WhatsApp,Low,49.0,nan
GRV-2096,2025-08-21,,Ward-05,Public Property,Stray dogs attacking residents near park,In Progress,WhatsApp,High,41.0,nan
GRV-2097,2026-02-28,2026-03-16,Ward-15,Water Supply,Dirty/contaminated water coming from tap,Closed,Website,Medium,52.0,2.0
GRV-2098,2026-03-25,,Ward-18,Sewage & Drainage,Sewage overflowing onto road,Open,Phone Call,Critical,,nan
GRV-2099,2025-11-05,2025-12-01,Ward-09,Street Lighting,Broken street light reported multiple times,Closed,Phone Call,Low,31.0,3.0
GRV-2100,2025-09-24,,Ward-19,Noise & Pollution,Construction noise beyond permitted hours,Open,Website,Medium,,nan
GRV-2101,2024-12-12,2024-12-29,Ward-19,Public Property,Public toilet locked / not accessible,Resolved,Walk-In,Medium,36.0,3.0
GRV-2102,2026-03-30,,Ward-01,Public Property,Public toilet locked / not accessible,Open,Mobile App,High,27.0,nan
GRV-2103,2025-11-04,,Ward-04,Water Supply,Water pipeline leakage on main road,Open,Website,Medium,,nan
GRV-2104,2024-10-16,,Ward-02,Public Property,Tree fallen on parked vehicles,Open,Mobile App,Medium,66.0,nan
GRV-2105,2025-05-16,2025-05-22,Ward-07,Water Supply,Water meter not working properly,Resolved,WhatsApp,Medium,41.0,1.0
GRV-2106,2024-12-05,,Ward-20,Public Property,Park benches broken and vandalised,Open,Walk-In,Medium,55.0,nan
GRV-2107,2025-01-09,2025-01-24,Ward-06,Noise & Pollution,Dust from road construction affecting residents,Resolved,Mobile App,Medium,62.0,2.0
GRV-2108,2025-03-31,,Ward-03,Road & Infrastructure,Broken footpath causing injury to pedestrians,In Progress,Website,Critical,48.0,nan
GRV-2109,2025-06-30,2025-07-26,Ward-11,Road & Infrastructure,Speed breaker removed without notice,Resolved,Phone Call,Low,65.0,3.0
GRV-2110,2024-10-25,2024-11-08,Ward-13,Water Supply,Dirty/contaminated water coming from tap,Resolved,Website,Medium,35.0,1.0
GRV-2111,2026-02-20,,Ward-09,Water Supply,Dirty/contaminated water coming from tap,Rejected,Walk-In,Medium,71.0,nan
GRV-2112,2024-11-22,2024-12-03,Ward-06,Street Lighting,Frequent power fluctuation in area,Resolved,Website,Low,48.0,4.0
GRV-2113,2025-11-07,,Ward-04,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Website,High,54.0,nan
GRV-2114,2025-09-29,,,Water Supply,No water supply for 3 days,Open,WhatsApp,High,21.0,nan
GRV-2115,2026-02-16,,Ward-16,Noise & Pollution,Loud music from nearby event venue,Open,Walk-In,Medium,28.0,nan
GRV-2116,2025-01-26,2025-02-06,Ward-09,Water Supply,No water supply for 3 days,Resolved,Walk-In,High,61.0,5.0
GRV-2117,2024-12-17,,Ward-16,Street Lighting,Broken street light reported multiple times,Open,Website,Medium,42.0,nan
GRV-2118,2024-10-15,,Ward-01,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Website,Critical,69.0,nan
GRV-2119,2025-02-28,,Ward-18,Noise & Pollution,Loud music from nearby event venue,Open,Phone Call,Medium,31.0,nan
GRV-2120,2025-10-06,,Ward-03,Road & Infrastructure,Speed breaker removed without notice,Open,Phone Call,Medium,,nan
GRV-2121,2026-02-24,2026-03-02,Ward-10,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Walk-In,Low,,4.0
GRV-2122,2024-10-12,2024-11-04,Ward-10,Water Supply,Water pipeline leakage on main road,Resolved,Website,High,46.0,4.0
GRV-2123,2025-12-02,,Ward-15,Public Property,Tree fallen on parked vehicles,In Progress,,High,23.0,nan
GRV-2124,2025-05-17,,Ward-19,Waste Management,Garbage not collected for a week,Open,Walk-In,Medium,57.0,nan
GRV-2125,2025-05-02,2025-05-14,Ward-16,Water Supply,Water meter not working properly,Resolved,WhatsApp,Critical,29.0,4.0
GRV-2126,2025-10-15,,,Noise & Pollution,Loud music from nearby event venue,Rejected,Mobile App,Low,28.0,nan
GRV-2127,2025-01-24,2025-02-11,Ward-02,Water Supply,Dirty/contaminated water coming from tap,Resolved,Website,Low,31.0,2.0
GRV-2128,2025-01-26,,Ward-18,Noise & Pollution,Dust from road construction affecting residents,In Progress,Walk-In,High,44.0,nan
GRV-2129,2025-08-01,,Ward-05,Waste Management,Garbage not collected for a week,Open,Website,Medium,,nan
GRV-2130,2024-10-07,,Ward-05,Street Lighting,Broken street light reported multiple times,Open,Mobile App,Low,56.0,nan
GRV-2131,2026-01-29,2026-02-14,Ward-04,Water Supply,Dirty/contaminated water coming from tap,Resolved,Website,Medium,42.0,4.0
GRV-2132,2025-04-15,,Ward-04,Noise & Pollution,Dust from road construction affecting residents,Open,Mobile App,Medium,59.0,nan
GRV-2133,2025-05-28,,Ward-07,Noise & Pollution,Dust from road construction affecting residents,Open,Website,Medium,40.0,nan
GRV-2134,2025-12-29,,Ward-19,Noise & Pollution,Loud music from nearby event venue,Open,WhatsApp,Low,26.0,nan
GRV-2135,2024-11-10,2024-11-30,Ward-19,Noise & Pollution,Factory emitting foul-smelling smoke,Resolved,Walk-In,Medium,,3.0
GRV-2136,2024-11-08,,Ward-14,Water Supply,Dirty/contaminated water coming from tap,Open,Walk-In,Medium,57.0,nan
GRV-2137,2025-02-24,,Ward-19,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,Mobile App,Low,64.0,nan
GRV-2138,2025-09-04,,Ward-06,Noise & Pollution,Dust from road construction affecting residents,In Progress,Mobile App,High,58.0,nan
GRV-2139,2025-05-09,,Ward-03,Water Supply,No water supply for 3 days,Open,WhatsApp,High,,nan
GRV-2140,2025-05-24,2025-06-21,Ward-07,Street Lighting,Short circuit sparks from street light,Resolved,Walk-In,Medium,50.0,4.0
GRV-2141,2025-02-04,,Ward-06,Sewage & Drainage,Manhole cover missing – safety hazard,In Progress,WhatsApp,Medium,,nan
GRV-2142,2025-07-16,2025-08-02,Ward-20,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Mobile App,Medium,25.0,2.0
GRV-2143,2025-02-14,,Ward-01,Noise & Pollution,Burning of garbage creating air pollution,Open,WhatsApp,Low,24.0,nan
GRV-2144,2025-07-08,,Ward-20,Water Supply,Water meter not working properly,Rejected,Phone Call,High,63.0,nan
GRV-2145,2024-10-08,,,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Walk-In,Low,63.0,nan
GRV-2146,2025-05-07,2025-05-22,,Waste Management,Garbage not collected for a week,Resolved,Website,Medium,61.0,1.0
GRV-2147,2025-08-04,,Ward-12,Waste Management,Garbage not collected for a week,Open,Phone Call,Low,50.0,nan
GRV-2148,2025-04-23,2025-05-03,Ward-15,Road & Infrastructure,Broken footpath causing injury to pedestrians,Resolved,Mobile App,Low,23.0,1.0
GRV-2149,2024-12-04,,Ward-01,Water Supply,Water meter not working properly,Open,Website,Medium,25.0,nan
GRV-2150,2025-05-21,2025-06-15,Ward-19,Water Supply,Low water pressure in pipes,Resolved,WhatsApp,Medium,,3.0
GRV-2151,2025-12-20,,Ward-04,Waste Management,Illegal dumping of waste on street,Open,Phone Call,Low,,nan
GRV-2152,2024-11-25,2024-12-07,Ward-13,Waste Management,No waste bins available in the area,Closed,Walk-In,Low,73.0,4.0
GRV-2153,2025-11-19,,Ward-14,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Walk-In,Low,,nan
GRV-2154,2025-12-14,,Ward-12,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Walk-In,Medium,56.0,nan
GRV-2155,2025-05-19,,Ward-07,Waste Management,Illegal dumping of waste on street,Rejected,Phone Call,Low,57.0,nan
GRV-2156,2025-08-29,,Ward-05,Public Property,Encroachment on footpath by shop owners,Open,Mobile App,High,41.0,nan
GRV-2157,2025-02-18,,Ward-11,Street Lighting,Short circuit sparks from street light,Open,Walk-In,High,44.0,nan
GRV-2158,2025-07-03,2025-07-26,Ward-20,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Walk-In,Medium,25.0,3.0
GRV-2159,2025-08-29,,Ward-17,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Website,High,54.0,nan
GRV-2160,2025-10-24,,Ward-15,Waste Management,Garbage truck does not come on schedule,In Progress,Phone Call,Low,68.0,nan
GRV-2161,2024-12-01,,Ward-14,Street Lighting,Frequent power fluctuation in area,Open,WhatsApp,Low,67.0,nan
GRV-2162,2024-11-21,2024-12-01,Ward-01,Sewage & Drainage,Blocked drain causing flooding in colony,Closed,Website,Critical,29.0,3.0
GRV-2163,2025-02-13,2025-03-02,Ward-17,Water Supply,Water pipeline leakage on main road,Resolved,Mobile App,Medium,46.0,1.0
GRV-2164,2025-04-26,2025-05-02,Ward-04,Street Lighting,Short circuit sparks from street light,Resolved,Website,Medium,55.0,1.0
GRV-2165,2025-12-18,2025-12-27,Ward-14,Water Supply,Water meter not working properly,Resolved,Walk-In,Low,56.0,4.0
GRV-2166,2025-01-11,2025-02-06,Ward-03,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Mobile App,Medium,61.0,3.0
GRV-2167,2025-05-14,2025-06-13,Ward-19,Road & Infrastructure,Road completely waterlogged after rain,Resolved,WhatsApp,Low,22.0,1.0
GRV-2168,2025-01-04,2025-01-15,Ward-13,Street Lighting,Short circuit sparks from street light,Resolved,Walk-In,High,27.0,4.0
GRV-2169,2026-02-13,2026-02-18,Ward-01,Road & Infrastructure,Speed breaker removed without notice,Resolved,Mobile App,Medium,40.0,3.0
GRV-2170,2025-05-09,,Ward-10,Public Property,Tree fallen on parked vehicles,In Progress,Website,High,25.0,nan
GRV-2171,2025-08-30,,Ward-07,Public Property,Encroachment on footpath by shop owners,In Progress,Mobile App,Medium,28.0,nan
GRV-2172,2024-11-23,,Ward-12,Road & Infrastructure,Large pothole causing accidents on highway,In Progress,Mobile App,Low,,nan
GRV-2173,2025-04-30,2025-05-12,Ward-12,Road & Infrastructure,Speed breaker removed without notice,Resolved,Phone Call,Low,47.0,2.0
GRV-2174,2026-02-24,,Ward-07,Sewage & Drainage,Sewage overflowing onto road,In Progress,Walk-In,Critical,66.0,nan
GRV-2175,2025-06-24,,Ward-16,Waste Management,Garbage truck does not come on schedule,Open,WhatsApp,High,64.0,nan
GRV-2176,2025-04-22,2025-05-10,Ward-08,Public Property,Public toilet locked / not accessible,Resolved,Phone Call,Medium,70.0,3.0
GRV-2177,2025-07-30,2025-08-17,Ward-09,Road & Infrastructure,Road construction debris not cleared,Resolved,Mobile App,Low,69.0,1.0
GRV-2178,2025-10-31,,Ward-17,Road & Infrastructure,Speed breaker removed without notice,In Progress,Mobile App,Medium,72.0,nan
GRV-2179,2025-07-20,2025-07-27,Ward-15,Sewage & Drainage,Sewage mixing with drinking water pipeline,Closed,WhatsApp,Medium,59.0,1.0
GRV-2180,2024-10-11,,,Public Property,Park benches broken and vandalised,Open,Website,Low,21.0,nan
GRV-2181,2026-03-19,,Ward-03,Street Lighting,Frequent power fluctuation in area,Open,Mobile App,Low,41.0,nan
GRV-2182,2025-07-17,,Ward-07,Water Supply,Low water pressure in pipes,In Progress,WhatsApp,Critical,30.0,nan
GRV-2183,2024-12-14,,Ward-18,Water Supply,Dirty/contaminated water coming from tap,In Progress,Walk-In,Medium,46.0,nan
GRV-2184,2025-11-09,2025-11-15,,Street Lighting,Short circuit sparks from street light,Resolved,Mobile App,Low,25.0,2.0
GRV-2185,2025-07-24,2025-08-22,Ward-08,Water Supply,No water supply for 3 days,Closed,WhatsApp,Medium,,3.0
GRV-2186,2025-08-22,,Ward-11,Street Lighting,Broken street light reported multiple times,Open,Website,Medium,19.0,nan
GRV-2187,2025-08-22,2025-09-19,Ward-15,Public Property,Encroachment on footpath by shop owners,Resolved,Website,Medium,47.0,1.0
GRV-2188,2025-02-04,,Ward-09,Waste Management,Illegal dumping of waste on street,Open,Walk-In,Medium,27.0,nan
GRV-2189,2025-12-23,,Ward-10,Road & Infrastructure,Large pothole causing accidents on highway,Open,Website,Critical,69.0,nan
GRV-2190,2026-01-18,2026-01-22,Ward-10,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,,Low,54.0,1.0
GRV-2191,2026-02-21,,Ward-04,Waste Management,Overflowing dustbin near bus stop,Open,Mobile App,Critical,22.0,nan
GRV-2192,2025-01-26,,Ward-12,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,Walk-In,Low,72.0,nan
GRV-2193,2025-06-27,2025-07-11,Ward-12,Public Property,Park benches broken and vandalised,Resolved,Walk-In,Medium,33.0,4.0
GRV-2194,2025-11-17,,Ward-04,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,Mobile App,Medium,42.0,nan
GRV-2195,2024-12-18,2025-01-09,Ward-11,Street Lighting,Frequent power fluctuation in area,Closed,Walk-In,Low,63.0,5.0
GRV-2196,2025-07-16,,Ward-11,Public Property,Encroachment on footpath by shop owners,Rejected,Phone Call,Medium,74.0,nan
GRV-2197,2025-08-15,2025-08-29,Ward-19,Road & Infrastructure,Road construction debris not cleared,Resolved,Website,Medium,29.0,5.0
GRV-2198,2025-11-05,2025-11-28,Ward-05,Water Supply,Water pipeline leakage on main road,Closed,WhatsApp,Low,37.0,1.0
GRV-2199,2025-04-20,2025-04-24,Ward-08,Water Supply,Water pipeline leakage on main road,Resolved,Website,Medium,41.0,3.0
GRV-2200,2025-04-04,2025-04-05,Ward-07,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,WhatsApp,Medium,23.0,1.0
GRV-2201,2025-02-02,,Ward-03,Noise & Pollution,Burning of garbage creating air pollution,Open,WhatsApp,High,41.0,nan
GRV-2202,2025-06-03,,Ward-13,Public Property,Park benches broken and vandalised,Rejected,Walk-In,Medium,63.0,nan
GRV-2203,2025-06-25,,Ward-02,Sewage & Drainage,Sewage mixing with drinking water pipeline,In Progress,Phone Call,Medium,28.0,nan
GRV-2204,2025-02-18,,Ward-12,Public Property,Stray dogs attacking residents near park,In Progress,Mobile App,Low,41.0,nan
GRV-2205,2025-10-21,,Ward-18,Road & Infrastructure,Broken footpath causing injury to pedestrians,Rejected,Mobile App,Low,48.0,nan
GRV-2206,2025-02-15,2025-03-05,Ward-10,Street Lighting,Short circuit sparks from street light,Resolved,Walk-In,High,24.0,2.0
GRV-2207,2025-10-07,,Ward-19,Street Lighting,Short circuit sparks from street light,Open,WhatsApp,Low,37.0,nan
GRV-2208,2025-02-10,,Ward-17,Waste Management,Illegal dumping of waste on street,In Progress,Phone Call,Low,18.0,nan
GRV-2209,2025-02-25,,Ward-14,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Phone Call,Medium,21.0,nan
GRV-2210,2024-12-21,2025-01-14,Ward-05,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Walk-In,Low,31.0,3.0
